Fragment_ID,Mass
001,0.20873
002,0.26277
003,0.28594
004,0.226
005,0.10405
006,0.08232
007,0.07655
008,0.08278
009,0.14507
010,0.13526
011,0.10962
012,0.11735
013,0.17202
014,0.21211
015,0.19573
016,0.23249
017,0.12743
018,0.1164
019,0.14791
020,0.09922
021,0.1679
022,0.13376
023,0.16535
024,0.16438
025,0.17865
026,0.18694
027,0.10261
028,0.10124
029,0.15973
030,0.10663
031,0.14978
032,0.10068
033,0.09498
034,0.11558
035,0.15921
036,0.13202
037,0.13344
038,0.1181
039,0.109
040,0.09395
041,0.14924
042,0.11279
043,0.16924
044,0.13864
045,0.10014
046,0.08558
047,0.21994
048,0.05596
049,0.1342
050,0.16915
051,0.13833
052,0.16909
053,0.21638
054,0.13396
055,0.18421
056,0.16097
057,0.16768
058,0.21442
059,0.14996
060,0.10552
061,0.08759
062,0.08639
063,0.10387
064,0.07579
065,0.13858
066,0.12054
067,0.15176
068,0.11135
069,0.12773
070,0.18577
071,0.33467
072,0.2171
073,0.12948
074,0.14292
075,0.11218
076,0.2782
077,0.17172
078,0.1644
079,0.1227
080,0.144
081,0.15623
082,0.1267
083,0.18095
084,0.18865
085,0.16093
086,0.11187
087,0.15428
088,0.09199
089,0.06845
090,0.07581
091,0.13291
092,0.11044
093,0.06636
094,0.12032
095,0.12158
096,0.11101
097,0.11948
098,0.11623
099,0.18524
100,0.1576
101,0.15404
102,0.1031
103,0.20064
104,0.21877
105,0.1348
106,0.16752
107,0.13371
108,0.11579
109,0.1465
110,0.15241
111,0.16304
112,0.18259
113,0.24837
114,0.24383
115,0.20624
116,0.23883
117,0.07816
118,0.10277
119,0.08615
120,0.09987
121,0.12052
122,0.15322
123,0.14957
124,0.14143
125,0.1873
126,0.19164
127,0.086
128,0.30938
129,0.17963
130,0.21259
131,0.15271
132,0.16726
133,0.19557
134,0.13319
135,0.17337
136,0.11424
137,0.11752
138,0.15333
139,0.17587
140,0.14707
141,0.08874
142,0.11171
143,0.10631
144,0.09456
145,0.07147
146,0.15225
147,0.05949
148,0.06362
149,0.1367
150,0.09833
151,0.13231
152,0.12969
153,0.13393
154,0.15602
155,0.17009
156,0.15828
157,0.16978
158,0.14932
159,0.09872
160,0.36204
161,0.12454
162,0.16555
163,0.22097
164,0.13464
165,0.20019
166,0.16424
167,0.11838
168,0.14798