#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20154173, SEN S/N: 20154173, LBL: Temp.)","Intensity, Lux (LGR S/N: 20154173, SEN S/N: 20154173, LBL: Lux)"
1,8/31/20 10:56,23.966,53.8
2,8/31/20 11:01,25.319,0
3,8/31/20 11:06,25.319,0
4,8/31/20 11:11,25.319,0
5,8/31/20 11:16,25.319,0
6,8/31/20 11:21,25.222,0
7,8/31/20 11:26,25.222,0
8,8/31/20 11:31,25.222,0
9,8/31/20 11:36,25.222,0
10,8/31/20 11:41,25.222,0
11,8/31/20 11:46,25.222,0
12,8/31/20 11:51,25.222,0
13,8/31/20 11:56,25.222,0
14,8/31/20 12:01,25.222,0
15,8/31/20 12:06,25.222,0
16,8/31/20 12:11,25.222,0
17,8/31/20 12:16,25.125,0
18,8/31/20 12:21,25.125,0
19,8/31/20 12:26,25.125,0
20,8/31/20 12:31,25.125,0
21,8/31/20 12:36,25.222,0
22,8/31/20 12:41,25.416,0
23,8/31/20 12:46,25.416,0
24,8/31/20 12:51,25.319,0
25,8/31/20 12:56,25.319,0
26,8/31/20 13:01,25.319,0
27,8/31/20 13:06,25.319,0
28,8/31/20 13:11,25.222,0
29,8/31/20 13:16,25.222,0
30,8/31/20 13:21,25.222,0
31,8/31/20 13:26,25.222,0
32,8/31/20 13:31,25.125,0
33,8/31/20 13:36,25.416,0
34,8/31/20 13:41,25.513,0
35,8/31/20 13:46,25.513,0
36,8/31/20 13:51,25.513,0
37,8/31/20 13:56,25.513,0
38,8/31/20 14:01,25.513,0
39,8/31/20 14:06,25.513,0
40,8/31/20 14:11,25.513,0
41,8/31/20 14:16,25.513,0
42,8/31/20 14:21,25.513,0
43,8/31/20 14:26,25.416,0
44,8/31/20 14:31,25.416,0
45,8/31/20 14:36,25.416,0
46,8/31/20 14:41,25.416,0
47,8/31/20 14:46,25.416,0
48,8/31/20 14:51,25.416,0
49,8/31/20 14:56,25.416,0
50,8/31/20 15:01,25.416,0
51,8/31/20 15:06,25.416,0
52,8/31/20 15:11,25.416,0
53,8/31/20 15:16,25.416,0
54,8/31/20 15:21,25.416,0
55,8/31/20 15:26,25.416,0
56,8/31/20 15:31,25.416,0
57,8/31/20 15:36,25.319,0
58,8/31/20 15:41,25.319,0
59,8/31/20 15:46,25.319,0
60,8/31/20 15:51,25.319,0
61,8/31/20 15:56,25.319,0
62,8/31/20 16:01,25.319,0
63,8/31/20 16:06,25.319,0
64,8/31/20 16:11,25.319,0
65,8/31/20 16:16,25.319,0
66,8/31/20 16:21,25.319,0
67,8/31/20 16:26,25.319,0
68,8/31/20 16:31,25.319,0
69,8/31/20 16:36,25.319,0
70,8/31/20 16:41,25.319,0
71,8/31/20 16:46,25.222,0
72,8/31/20 16:51,25.222,0
73,8/31/20 16:56,25.222,0
74,8/31/20 17:01,25.222,0
75,8/31/20 17:06,25.222,0
76,8/31/20 17:11,25.222,0
77,8/31/20 17:16,25.222,0
78,8/31/20 17:21,25.222,0
79,8/31/20 17:26,25.222,0
80,8/31/20 17:31,25.222,0
81,8/31/20 17:36,25.222,0
82,8/31/20 17:41,25.222,0
83,8/31/20 17:46,25.222,0
84,8/31/20 17:51,25.125,0
85,8/31/20 17:56,25.125,0
86,8/31/20 18:01,25.125,0
87,8/31/20 18:06,25.125,0
88,8/31/20 18:11,25.125,0
89,8/31/20 18:16,25.125,0
90,8/31/20 18:21,25.125,0
91,8/31/20 18:26,25.125,0
92,8/31/20 18:31,25.125,0
93,8/31/20 18:36,25.222,0
94,8/31/20 18:41,25.416,0
95,8/31/20 18:46,25.416,0
96,8/31/20 18:51,25.416,0
97,8/31/20 18:56,25.416,0
98,8/31/20 19:01,25.319,0
99,8/31/20 19:06,25.319,0
100,8/31/20 19:11,25.319,0
101,8/31/20 19:16,25.319,0
102,8/31/20 19:21,25.319,0
103,8/31/20 19:26,25.319,0
104,8/31/20 19:31,25.319,0
105,8/31/20 19:36,25.222,0
106,8/31/20 19:41,25.222,0
107,8/31/20 19:46,25.222,0
108,8/31/20 19:51,25.222,0
109,8/31/20 19:56,25.222,0
110,8/31/20 20:01,25.222,0
111,8/31/20 20:06,25.222,0
112,8/31/20 20:11,25.125,0
113,8/31/20 20:16,25.125,0
114,8/31/20 20:21,25.125,0
115,8/31/20 20:26,25.125,0
116,8/31/20 20:31,25.125,0
117,8/31/20 20:36,25.125,0
118,8/31/20 20:41,25.222,0
119,8/31/20 20:46,25.416,0
120,8/31/20 20:51,25.319,0
121,8/31/20 20:56,25.319,0
122,8/31/20 21:01,25.319,0
123,8/31/20 21:06,25.319,0
124,8/31/20 21:11,25.319,0
125,8/31/20 21:16,25.222,0
126,8/31/20 21:21,25.222,0
127,8/31/20 21:26,25.222,0
128,8/31/20 21:31,25.222,0
129,8/31/20 21:36,25.222,0
130,8/31/20 21:41,25.222,0
131,8/31/20 21:46,25.222,0
132,8/31/20 21:51,25.222,0
133,8/31/20 21:56,25.125,0
134,8/31/20 22:01,25.125,0
135,8/31/20 22:06,25.125,21.5
136,8/31/20 22:11,25.125,21.5
137,8/31/20 22:16,25.125,64.6
138,8/31/20 22:21,25.125,75.3
139,8/31/20 22:26,25.125,21.5
140,8/31/20 22:31,25.222,75.3
141,8/31/20 22:36,25.222,64.6
142,8/31/20 22:41,25.222,64.6
143,8/31/20 22:46,25.222,64.6
144,8/31/20 22:51,25.222,64.6
145,8/31/20 22:56,25.319,64.6
146,8/31/20 23:01,25.319,64.6
147,8/31/20 23:06,25.319,64.6
148,8/31/20 23:11,25.319,64.6
149,8/31/20 23:16,25.319,64.6
150,8/31/20 23:21,25.319,53.8
151,8/31/20 23:26,25.319,64.6
152,8/31/20 23:31,25.319,64.6
153,8/31/20 23:36,25.416,64.6
154,8/31/20 23:41,25.416,64.6
155,8/31/20 23:46,25.416,64.6
156,8/31/20 23:51,25.416,75.3
157,8/31/20 23:56,25.416,64.6
158,9/1/20 0:01,25.416,64.6
159,9/1/20 0:06,25.416,75.3
160,9/1/20 0:11,25.416,75.3
161,9/1/20 0:16,25.416,64.6
162,9/1/20 0:21,25.416,64.6
163,9/1/20 0:26,25.416,64.6
164,9/1/20 0:31,25.416,75.3
165,9/1/20 0:36,25.416,64.6
166,9/1/20 0:41,25.416,64.6
167,9/1/20 0:46,25.416,64.6
168,9/1/20 0:51,25.416,64.6
169,9/1/20 0:56,25.416,75.3
170,9/1/20 1:01,25.416,64.6
171,9/1/20 1:06,25.416,64.6
172,9/1/20 1:11,25.416,75.3
173,9/1/20 1:16,25.416,64.6
174,9/1/20 1:21,25.416,64.6
175,9/1/20 1:26,25.416,64.6
176,9/1/20 1:31,25.416,64.6
177,9/1/20 1:36,25.416,64.6
178,9/1/20 1:41,25.416,75.3
179,9/1/20 1:46,25.416,64.6
180,9/1/20 1:51,25.416,64.6
181,9/1/20 1:56,25.416,53.8
182,9/1/20 2:01,25.416,64.6
183,9/1/20 2:06,25.416,64.6
184,9/1/20 2:11,25.416,64.6
185,9/1/20 2:16,25.416,64.6
186,9/1/20 2:21,25.416,75.3
187,9/1/20 2:26,25.416,64.6
188,9/1/20 2:31,25.416,64.6
189,9/1/20 2:36,25.416,64.6
190,9/1/20 2:41,25.416,64.6
191,9/1/20 2:46,25.416,64.6
192,9/1/20 2:51,25.416,64.6
193,9/1/20 2:56,25.416,64.6
194,9/1/20 3:01,25.416,64.6
195,9/1/20 3:06,25.416,64.6
196,9/1/20 3:11,25.416,64.6
197,9/1/20 3:16,25.416,64.6
198,9/1/20 3:21,25.416,75.3
199,9/1/20 3:26,25.416,75.3
200,9/1/20 3:31,25.416,64.6
201,9/1/20 3:36,25.416,64.6
202,9/1/20 3:41,25.416,64.6
203,9/1/20 3:46,25.416,75.3
204,9/1/20 3:51,25.416,64.6
205,9/1/20 3:56,25.416,75.3
206,9/1/20 4:01,25.416,64.6
207,9/1/20 4:06,25.416,64.6
208,9/1/20 4:11,25.416,64.6
209,9/1/20 4:16,25.319,64.6
210,9/1/20 4:21,25.319,64.6
211,9/1/20 4:26,25.319,64.6
212,9/1/20 4:31,25.319,64.6
213,9/1/20 4:36,25.416,64.6
214,9/1/20 4:41,25.416,64.6
215,9/1/20 4:46,25.416,64.6
216,9/1/20 4:51,25.416,64.6
217,9/1/20 4:56,25.416,64.6
218,9/1/20 5:01,25.416,64.6
219,9/1/20 5:06,25.513,64.6
220,9/1/20 5:11,25.513,75.3
221,9/1/20 5:16,25.513,75.3
222,9/1/20 5:21,25.513,64.6
223,9/1/20 5:26,25.513,64.6
224,9/1/20 5:31,25.513,64.6
225,9/1/20 5:36,25.513,64.6
226,9/1/20 5:41,25.513,64.6
227,9/1/20 5:46,25.513,64.6
228,9/1/20 5:51,25.513,96.9
229,9/1/20 5:56,25.513,86.1
230,9/1/20 6:01,25.513,53.8
231,9/1/20 6:06,25.513,64.6
232,9/1/20 6:11,25.513,75.3
233,9/1/20 6:16,25.513,64.6
234,9/1/20 6:21,25.513,64.6
235,9/1/20 6:26,25.61,64.6
236,9/1/20 6:31,25.61,64.6
237,9/1/20 6:36,25.513,64.6
238,9/1/20 6:41,25.61,64.6
239,9/1/20 6:46,25.61,64.6
240,9/1/20 6:51,25.513,64.6
241,9/1/20 6:56,25.513,64.6
242,9/1/20 7:01,25.513,75.3
243,9/1/20 7:06,25.61,64.6
244,9/1/20 7:11,25.513,64.6
245,9/1/20 7:16,25.513,75.3
246,9/1/20 7:21,25.513,64.6
247,9/1/20 7:26,25.513,64.6
248,9/1/20 7:31,25.513,64.6
249,9/1/20 7:36,25.513,64.6
250,9/1/20 7:41,25.513,75.3
251,9/1/20 7:46,25.513,43.1
252,9/1/20 7:51,25.513,86.1
253,9/1/20 7:56,25.513,86.1
254,9/1/20 8:01,25.513,75.3
255,9/1/20 8:06,25.513,96.9
256,9/1/20 8:11,25.513,86.1
257,9/1/20 8:16,25.513,86.1
258,9/1/20 8:21,25.513,86.1
259,9/1/20 8:26,25.513,75.3
260,9/1/20 8:31,25.513,75.3
261,9/1/20 8:36,25.513,86.1
262,9/1/20 8:41,25.513,75.3
263,9/1/20 8:46,25.513,86.1
264,9/1/20 8:51,25.513,75.3
265,9/1/20 8:56,25.513,75.3
266,9/1/20 9:01,25.513,96.9
267,9/1/20 9:06,25.513,75.3
268,9/1/20 9:11,25.513,75.3
269,9/1/20 9:16,25.513,75.3
270,9/1/20 9:21,25.513,75.3
271,9/1/20 9:26,25.513,75.3
272,9/1/20 9:31,25.513,53.8
273,9/1/20 9:36,25.513,64.6
274,9/1/20 9:41,25.513,64.6
275,9/1/20 9:46,25.513,64.6
276,9/1/20 9:51,25.513,64.6
277,9/1/20 9:56,25.513,43.1
278,9/1/20 10:01,25.513,10.8
279,9/1/20 10:06,25.513,53.8
280,9/1/20 10:11,25.513,10.8
281,9/1/20 10:16,25.416,10.8
282,9/1/20 10:21,25.416,10.8
283,9/1/20 10:26,25.416,0
284,9/1/20 10:31,25.319,0
285,9/1/20 10:36,25.319,0
286,9/1/20 10:41,25.319,0
287,9/1/20 10:46,25.222,0
288,9/1/20 10:51,25.222,0
289,9/1/20 10:56,25.222,0
290,9/1/20 11:01,25.222,0
291,9/1/20 11:06,25.125,0
292,9/1/20 11:11,25.125,0
293,9/1/20 11:16,25.319,0
294,9/1/20 11:21,25.416,0
295,9/1/20 11:26,25.319,0
296,9/1/20 11:31,25.319,0
297,9/1/20 11:36,25.222,0
298,9/1/20 11:41,25.222,0
299,9/1/20 11:46,25.222,0
300,9/1/20 11:51,25.125,0
301,9/1/20 11:56,25.125,0
302,9/1/20 12:01,25.319,0
303,9/1/20 12:06,25.416,0
304,9/1/20 12:11,25.416,0
305,9/1/20 12:16,25.416,0
306,9/1/20 12:21,25.319,0
307,9/1/20 12:26,25.319,0
308,9/1/20 12:31,25.222,0
309,9/1/20 12:36,25.222,0
310,9/1/20 12:41,25.222,0
311,9/1/20 12:46,25.222,0
312,9/1/20 12:51,25.125,0
313,9/1/20 12:56,25.125,0
314,9/1/20 13:01,25.222,0
315,9/1/20 13:06,25.319,0
316,9/1/20 13:11,25.319,0
317,9/1/20 13:16,25.319,0
318,9/1/20 13:21,25.222,0
319,9/1/20 13:26,25.222,0
320,9/1/20 13:31,25.222,0
321,9/1/20 13:36,25.222,0
322,9/1/20 13:41,25.125,0
323,9/1/20 13:46,25.125,0
324,9/1/20 13:51,25.222,0
325,9/1/20 13:56,25.416,0
326,9/1/20 14:01,25.416,0
327,9/1/20 14:06,25.319,0
328,9/1/20 14:11,25.319,0
329,9/1/20 14:16,25.319,0
330,9/1/20 14:21,25.222,0
331,9/1/20 14:26,25.222,0
332,9/1/20 14:31,25.222,0
333,9/1/20 14:36,25.222,0
334,9/1/20 14:41,25.222,0
335,9/1/20 14:46,25.125,0
336,9/1/20 14:51,25.125,0
337,9/1/20 14:56,25.125,0
338,9/1/20 15:01,25.319,0
339,9/1/20 15:06,25.416,0
340,9/1/20 15:11,25.416,0
341,9/1/20 15:16,25.319,0
342,9/1/20 15:21,25.319,0
343,9/1/20 15:26,25.319,0
344,9/1/20 15:31,25.222,0
345,9/1/20 15:36,25.222,0
346,9/1/20 15:41,25.222,0
347,9/1/20 15:46,25.222,0
348,9/1/20 15:51,25.222,0
349,9/1/20 15:56,25.125,0
350,9/1/20 16:01,25.125,0
351,9/1/20 16:06,25.125,0
352,9/1/20 16:11,25.319,0
353,9/1/20 16:16,25.416,0
354,9/1/20 16:21,25.416,0
355,9/1/20 16:26,25.319,0
356,9/1/20 16:31,25.319,0
357,9/1/20 16:36,25.319,0
358,9/1/20 16:41,25.319,0
359,9/1/20 16:46,25.319,0
360,9/1/20 16:51,25.319,0
361,9/1/20 16:56,25.319,0
362,9/1/20 17:01,25.319,0
363,9/1/20 17:06,25.319,0
364,9/1/20 17:11,25.222,0
365,9/1/20 17:16,25.222,0
366,9/1/20 17:21,25.222,0
367,9/1/20 17:26,25.222,0
368,9/1/20 17:31,25.222,0
369,9/1/20 17:36,25.222,0
370,9/1/20 17:41,25.222,0
371,9/1/20 17:46,25.222,0
372,9/1/20 17:51,25.222,0
373,9/1/20 17:56,25.125,0
374,9/1/20 18:01,25.125,0
375,9/1/20 18:06,25.125,0
376,9/1/20 18:11,25.125,0
377,9/1/20 18:16,25.125,0
378,9/1/20 18:21,25.416,0
379,9/1/20 18:26,25.513,0
380,9/1/20 18:31,25.513,0
381,9/1/20 18:36,25.513,0
382,9/1/20 18:41,25.513,0
383,9/1/20 18:46,25.513,0
384,9/1/20 18:51,25.513,0
385,9/1/20 18:56,25.513,0
386,9/1/20 19:01,25.513,0
387,9/1/20 19:06,25.513,0
388,9/1/20 19:11,25.416,0
389,9/1/20 19:16,25.416,0
390,9/1/20 19:21,25.416,0
391,9/1/20 19:26,25.416,0
392,9/1/20 19:31,25.416,0
393,9/1/20 19:36,25.416,0
394,9/1/20 19:41,25.416,0
395,9/1/20 19:46,25.416,0
396,9/1/20 19:51,25.416,0
397,9/1/20 19:56,25.416,0
398,9/1/20 20:01,25.416,0
399,9/1/20 20:06,25.416,0
400,9/1/20 20:11,25.319,0
401,9/1/20 20:16,25.319,0
402,9/1/20 20:21,25.319,0
403,9/1/20 20:26,25.319,0
404,9/1/20 20:31,25.319,0
405,9/1/20 20:36,25.319,0
406,9/1/20 20:41,25.319,0
407,9/1/20 20:46,25.319,0
408,9/1/20 20:51,25.319,0
409,9/1/20 20:56,25.319,0
410,9/1/20 21:01,25.319,0
411,9/1/20 21:06,25.319,0
412,9/1/20 21:11,25.222,0
413,9/1/20 21:16,25.222,0
414,9/1/20 21:21,25.222,0
415,9/1/20 21:26,25.222,0
416,9/1/20 21:31,25.222,0
417,9/1/20 21:36,25.222,0
418,9/1/20 21:41,25.222,0
419,9/1/20 21:46,25.222,0
420,9/1/20 21:51,25.222,0
421,9/1/20 21:56,25.222,0
422,9/1/20 22:01,25.222,0
423,9/1/20 22:06,25.222,21.5
424,9/1/20 22:11,25.222,32.3
425,9/1/20 22:16,25.222,21.5
426,9/1/20 22:21,25.125,86.1
427,9/1/20 22:26,25.125,96.9
428,9/1/20 22:31,25.125,75.3
429,9/1/20 22:36,25.222,118.4
430,9/1/20 22:41,25.222,75.3
431,9/1/20 22:46,25.222,86.1
432,9/1/20 22:51,25.222,96.9
433,9/1/20 22:56,25.222,75.3
434,9/1/20 23:01,25.222,75.3
435,9/1/20 23:06,25.222,86.1
436,9/1/20 23:11,25.222,107.6
437,9/1/20 23:16,25.222,96.9
438,9/1/20 23:21,25.222,75.3
439,9/1/20 23:26,25.222,86.1
440,9/1/20 23:31,25.319,86.1
441,9/1/20 23:36,25.319,75.3
442,9/1/20 23:41,25.319,86.1
443,9/1/20 23:46,25.319,86.1
444,9/1/20 23:51,25.319,86.1
445,9/1/20 23:56,25.319,86.1
446,9/2/20 0:01,25.319,96.9
447,9/2/20 0:06,25.416,107.6
448,9/2/20 0:11,25.416,96.9
449,9/2/20 0:16,25.416,118.4
450,9/2/20 0:21,25.416,75.3
451,9/2/20 0:26,25.416,86.1
452,9/2/20 0:31,25.416,139.9
453,9/2/20 0:36,25.513,96.9
454,9/2/20 0:41,25.513,86.1
455,9/2/20 0:46,25.513,86.1
456,9/2/20 0:51,25.513,86.1
457,9/2/20 0:56,25.513,118.4
458,9/2/20 1:01,25.513,129.2
459,9/2/20 1:06,25.513,118.4
460,9/2/20 1:11,25.513,86.1
461,9/2/20 1:16,25.61,86.1
462,9/2/20 1:21,25.61,96.9
463,9/2/20 1:26,25.61,129.2
464,9/2/20 1:31,25.61,86.1
465,9/2/20 1:36,25.61,129.2
466,9/2/20 1:41,25.61,96.9
467,9/2/20 1:46,25.61,96.9
468,9/2/20 1:51,25.61,86.1
469,9/2/20 1:56,25.708,118.4
470,9/2/20 2:01,25.708,107.6
471,9/2/20 2:06,25.708,75.3
472,9/2/20 2:11,25.708,86.1
473,9/2/20 2:16,25.708,107.6
474,9/2/20 2:21,25.708,86.1
475,9/2/20 2:26,25.708,129.2
476,9/2/20 2:31,25.708,86.1
477,9/2/20 2:36,25.708,75.3
478,9/2/20 2:41,25.708,96.9
479,9/2/20 2:46,25.708,129.2
480,9/2/20 2:51,25.708,96.9
